gestion,semestre,carrera,carrera_codigo,modalidad_ingreso,orden_postulacion,turno_estudio,formacion_previa,genero,edad_ingreso,estado_civil,estudiante_internacional,beneficiario_beca,pagos_al_dia,deudor,desplazado,nee,situacion_laboral_estudiante,apoyo_financiero_tipo,materias_inscritas_1sem,evaluaciones_1sem,materias_aprobadas_1sem,promedio_1sem,materias_inscritas_2sem,evaluaciones_2sem,materias_aprobadas_2sem,promedio_2sem,reprobaciones_total,asistencia_pct,tutorias_recibidas,orientacion_academica,tasa_desempleo,tasa_inflacion,pib,estado_academico,target_desercion,avance_curricular_pct,n_retiros,materias_criticas_reprobadas,nota_prom_materias_criticas,alertas_academicas,uso_tutorias
2024,4,Lic. en Administración de Empresas,3,7,4,1,1,0,21,1,0,1,1,0,1,0,0,beca,6,7,6,13.571428571428571,6,6,6,12.5,0,99.4,0,0,8.9,1.4,3.51,Activo,0,50.0,1,0.0,12.07432946859977,0,0
2024,3,Ing. Financiera y de Riesgos,4,1,2,1,1,0,20,1,1,1,1,0,0,0,0,beca,6,9,5,11.8,6,9,5,11.833333333333334,1,86.2,2,1,15.5,2.8,-4.06,Activo,0,37.5,0,1.0,10.97094061688694,0,1
2025,5,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,20,1,0,1,1,0,1,0,0,credito,5,7,5,14.2,5,7,5,13.285714285714286,0,61.8,2,1,11.1,0.6,2.02,Activo,0,62.5,0,0.0,13.021385861768,1,1
2025,3,Ing. Comercial,1,12,1,0,12,0,41,1,0,0,1,0,0,0,0,ninguno,5,8,5,11.0,5,6,5,11.8,0,86.7,2,1,7.6,2.6,0.32,Activo,0,37.5,0,0.0,10.781527777824893,0,1
2025,6,Ing. Comercio Internacional,2,4,1,1,15,0,32,4,0,0,1,0,1,0,0,ninguno,7,16,4,13.625,7,8,7,12.6375,3,84.5,0,0,12.4,0.5,1.79,Activo,0,75.0,1,1.0,12.581925025970104,1,0
2023,1,Lic. en Administración de Empresas,3,8,3,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,8,8,7,14.652857142857142,8,8,7,14.652857142857142,1,82.5,1,1,10.8,1.4,1.74,Activo,0,12.5,1,1.0,13.689895859974254,0,1
2024,7,Ing. Financiera y de Riesgos,4,12,1,0,1,0,35,4,0,1,1,0,0,0,1,mixto,6,9,6,11.333333333333334,6,6,6,11.333333333333334,0,97.6,0,0,15.5,2.8,-4.06,Activo,0,87.5,1,0.0,10.611297165336055,0,0
2024,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,1,1,0,32,1,0,0,0,1,0,0,1,ninguno,7,12,4,13.7,7,7,0,0.0,3,87.9,1,1,16.2,0.3,-0.92,Abandono,1,12.5,0,1.0,6.1446492306198035,1,1
2023,6,Ing. Comercial,1,12,1,0,15,0,37,1,0,0,1,0,0,0,1,ninguno,11,11,11,13.727272727272728,8,8,8,14.75,0,80.7,1,1,12.4,0.5,1.79,Activo,0,75.0,0,0.0,13.776305578398123,0,1
2023,1,Ing. Comercio Internacional,2,12,2,1,3,0,30,2,0,0,1,0,0,0,1,ninguno,7,9,7,11.75,8,12,7,11.142857142857142,0,86.9,1,1,12.7,3.7,-1.7,Abandono,1,12.5,0,0.0,11.113740098908991,0,1
2023,4,Lic. en Administración de Empresas,3,14,2,1,1,1,23,1,0,0,1,0,0,0,0,ninguno,6,9,6,12.333333333333334,6,11,5,13.0,0,70.6,0,0,7.6,2.6,0.32,Activo,0,50.0,0,0.0,11.705034660834986,0,0
2024,5,Ing. Financiera y de Riesgos,4,8,2,1,1,0,20,1,0,1,1,0,1,0,0,beca,6,6,6,14.0,6,7,6,13.857142857142858,0,68.0,0,0,15.5,2.8,-4.06,Abandono,1,62.5,0,0.0,13.408956747380172,0,0
2024,4,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,1,21,1,0,0,1,0,0,0,0,ninguno,5,7,4,11.5,5,6,4,11.75,1,89.7,1,1,9.4,-0.8,-3.12,Activo,0,50.0,1,0.0,11.01518768367288,0,1
2025,3,Ing. Comercial,1,1,1,1,1,1,19,1,0,0,1,0,0,0,0,ninguno,5,6,5,11.2,5,5,5,13.2,0,81.8,0,0,12.4,0.5,1.79,Activo,0,37.5,0,0.0,11.819752039490005,0,0
2023,6,Ing. Comercio Internacional,2,8,4,1,1,1,18,1,0,1,1,0,1,0,0,mixto,8,8,7,15.07,8,8,7,15.07,1,100.0,0,0,10.8,1.4,1.74,Activo,0,75.0,0,0.0,14.184152969063495,0,0
2025,2,Lic. en Administración de Empresas,3,13,1,1,1,1,18,1,0,0,1,0,0,0,0,ninguno,5,6,1,10.0,5,7,1,12.0,4,85.3,0,0,10.8,1.4,1.74,Abandono,1,25.0,0,1.0,10.680657717000848,1,0
2025,4,Ing. Financiera y de Riesgos,4,12,1,0,1,1,24,1,0,0,1,0,0,0,1,ninguno,5,5,4,12.0,5,6,5,12.666666666666666,1,85.4,0,0,12.4,0.5,1.79,Activo,0,50.0,0,0.0,11.449539799863965,0,0
2025,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,9,1,1,1,1,22,1,0,0,1,0,1,0,0,ninguno,6,11,4,13.0,6,11,4,12.6,2,93.4,3,1,12.7,3.7,-1.7,Activo,0,12.5,0,1.0,12.401800491048425,1,1
2025,3,Ing. Comercial,1,8,4,1,1,1,18,1,0,0,1,0,1,0,0,ninguno,6,7,4,11.0,6,7,3,11.25,2,66.6,2,1,16.2,0.3,-0.92,Abandono,1,37.5,0,1.0,10.204405121158194,1,1
2023,1,Ing. Comercio Internacional,2,7,2,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,6,8,6,13.571428571428571,6,11,5,12.166666666666666,0,71.0,1,1,9.4,-0.8,-3.12,Activo,0,12.5,0,0.0,12.058206772912309,0,1
2025,5,Lic. en Administración de Empresas,3,1,2,1,1,1,21,1,1,0,1,0,1,0,0,ninguno,6,7,5,14.6,6,6,5,14.2,1,74.8,0,0,16.2,0.3,-0.92,Activo,0,62.5,0,0.0,13.984730816244886,0,0
2024,7,Ing. Financiera y de Riesgos,4,12,1,1,1,0,38,4,0,0,1,1,0,0,1,ninguno,7,13,3,11.833333333333334,7,14,2,10.0,4,78.6,3,1,16.2,0.3,-0.92,Abandono,1,87.5,0,2.0,10.22059407166504,1,1
2024,3,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,9,1,1,1,0,19,1,0,1,1,0,0,0,1,beca,7,11,7,12.625,8,11,8,12.5125,0,81.0,1,1,12.7,3.7,-1.7,Activo,0,37.5,0,0.0,12.049890579951345,0,1
2024,1,Ing. Comercial,1,12,1,1,1,0,36,6,0,0,1,0,0,0,0,ninguno,7,12,4,11.5,7,14,3,12.333333333333334,3,69.5,0,0,16.2,0.3,-0.92,Abandono,1,12.5,0,1.0,11.49190349742856,1,0
2025,2,Ing. Comercio Internacional,2,7,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,5,8,4,13.25,5,10,4,10.5,1,82.9,0,0,12.7,3.7,-1.7,Activo,0,25.0,0,0.0,10.973572460412225,0,0
2025,2,Lic. en Administración de Empresas,3,1,3,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,7,9,7,12.60625,8,12,6,11.9,0,87.9,1,1,12.4,0.5,1.79,Activo,0,25.0,0,0.0,11.67065906344494,0,1
2023,2,Ing. Financiera y de Riesgos,4,17,1,1,16,0,21,1,0,0,0,1,0,0,1,ninguno,10,15,8,13.75,9,17,5,13.2,2,88.6,0,0,8.9,1.4,3.51,Abandono,1,25.0,0,1.0,12.896019399944231,1,0
2023,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,2,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,7,10,6,13.598333333333334,8,11,6,11.933333333333332,1,77.5,2,1,11.1,0.6,2.02,Activo,0,75.0,1,1.0,12.3469126609687,0,1
2024,1,Ing. Comercial,1,1,1,1,1,0,18,1,0,1,1,0,0,0,0,beca,6,11,5,11.142857142857142,6,8,6,12.285714285714286,1,89.8,0,0,16.2,0.3,-0.92,Activo,0,12.5,1,0.0,11.14613974102567,0,0
2024,5,Ing. Comercio Internacional,2,4,1,1,3,0,45,2,0,0,1,0,1,0,0,ninguno,11,11,11,12.7,10,12,10,12.96818181818182,0,73.0,0,0,13.9,-0.3,0.79,Activo,0,62.5,0,0.0,11.923959116660715,0,0
2024,3,Lic. en Administración de Empresas,3,8,1,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,5,9,1,10.0,5,10,1,11.0,4,87.7,0,0,7.6,2.6,0.32,Abandono,1,37.5,0,2.0,9.945809902657254,1,0
2025,2,Ing. Financiera y de Riesgos,4,8,1,1,1,0,18,1,0,0,1,1,1,0,1,ninguno,6,8,6,11.666666666666666,6,10,4,11.5,0,88.8,0,0,13.9,-0.3,0.79,Activo,0,25.0,1,0.0,10.61721083958348,0,0
2023,5,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,18,1,0,1,1,0,0,0,0,credito,6,8,6,14.0,6,7,6,13.142857142857142,0,79.0,0,0,11.1,0.6,2.02,Activo,0,62.5,1,0.0,12.6090123419827,0,0
2023,1,Ing. Comercial,1,4,2,1,3,0,25,1,0,0,1,0,0,0,0,ninguno,5,9,0,0.0,5,9,0,0.0,5,92.4,0,0,10.8,1.4,1.74,Abandono,1,12.5,0,2.0,0.0,1,0
2023,6,Ing. Comercio Internacional,2,1,6,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,8,9,7,12.04142857142857,8,9,7,12.04142857142857,1,76.9,2,1,10.8,1.4,1.74,Activo,0,75.0,0,0.0,11.617310693962718,0,1
2024,6,Lic. en Administración de Empresas,3,1,1,1,1,0,18,1,0,1,1,0,1,0,0,beca,0,0,0,0.0,0,0,0,0.0,0,69.4,1,1,13.9,-0.3,0.79,Activo,0,75.0,0,0.0,0.0,0,1
2024,5,Ing. Financiera y de Riesgos,4,4,1,1,15,0,39,1,0,0,1,0,0,0,1,ninguno,13,14,13,13.76923076923077,12,16,12,14.583333333333334,0,87.7,1,1,13.9,-0.3,0.79,Activo,0,62.5,0,0.0,13.601349408034748,0,1
2023,7,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,1,1,0,29,2,0,0,1,0,0,0,1,ninguno,18,20,18,15.444444444444445,13,13,13,15.307692307692308,0,95.5,2,1,15.5,2.8,-4.06,Activo,0,87.5,2,0.0,15.07300658847027,0,1
2025,4,Ing. Comercial,1,8,1,1,1,0,18,1,0,0,1,0,1,0,1,ninguno,7,9,6,11.5,7,8,7,12.714285714285714,1,97.8,1,1,13.9,-0.3,0.79,Activo,0,50.0,0,0.0,11.615432583349097,0,1
2023,5,Ing. Comercio Internacional,2,4,1,1,3,0,23,1,0,0,0,0,0,0,1,ninguno,3,3,2,10.0,6,0,0,0.0,1,64.0,0,0,10.8,1.4,1.74,Abandono,1,62.5,1,0.0,4.281659704763108,1,0
2024,8,Lic. en Administración de Empresas,3,13,1,1,1,0,21,1,0,0,1,0,1,0,0,ninguno,6,8,4,12.25,6,13,3,10.333333333333334,2,63.7,0,0,12.7,3.7,-1.7,Abandono,1,100.0,1,1.0,10.43218049049469,1,0
2024,7,Ing. Financiera y de Riesgos,4,1,1,1,1,0,18,1,0,0,0,0,0,0,1,ninguno,6,6,6,14.5,6,6,6,15.166666666666666,0,84.4,2,1,10.8,1.4,1.74,Activo,0,87.5,0,0.0,14.43996130136805,0,1
2025,3,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,4,1,1,15,0,23,1,0,0,1,0,1,0,1,ninguno,6,7,6,15.571428571428571,6,8,6,16.375,0,84.5,2,1,12.4,0.5,1.79,Activo,0,37.5,0,0.0,15.59583533062257,0,1
2025,2,Ing. Comercial,1,1,1,1,1,0,18,1,0,0,1,0,0,0,0,ninguno,6,7,6,15.571428571428571,6,7,6,14.714285714285714,0,70.9,0,0,11.1,0.6,2.02,Activo,0,25.0,0,0.0,14.19739228535651,0,0
2023,5,Ing. Comercio Internacional,2,12,1,0,12,0,32,2,0,0,1,0,0,0,1,ninguno,6,8,5,13.8,6,7,6,12.166666666666666,1,87.6,0,0,9.4,-0.8,-3.12,Activo,0,62.5,0,1.0,12.157529475857526,0,0
2023,1,Lic. en Administración de Empresas,3,12,2,1,1,0,29,2,0,0,0,1,0,0,0,ninguno,5,8,3,10.666666666666666,5,14,2,14.8,2,81.1,2,1,10.8,1.4,1.74,Abandono,1,12.5,0,1.0,12.02048761278868,1,1
2024,4,Ing. Financiera y de Riesgos,4,1,6,1,1,0,20,1,0,1,1,1,1,0,0,beca,6,8,5,11.6,6,8,4,11.75,1,78.9,2,1,8.9,1.4,3.51,Activo,0,50.0,0,0.0,10.836569247002851,0,1
2023,8,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,1,1,0,28,1,0,0,0,0,1,0,0,ninguno,6,11,1,13.0,6,12,0,0.0,5,83.6,0,0,9.4,-0.8,-3.12,Abandono,1,100.0,0,3.0,5.899801947085353,1,0
2023,2,Ing. Comercial,1,4,1,1,3,0,27,1,0,0,1,0,0,0,0,ninguno,5,9,3,12.0,5,11,4,13.625,2,77.7,1,1,10.8,1.4,1.74,Activo,0,25.0,1,1.0,11.981580976883611,1,1
2024,2,Ing. Comercio Internacional,2,14,2,1,1,0,22,1,0,0,1,1,0,0,0,ninguno,14,14,12,12.333333333333334,14,14,12,12.333333333333334,2,74.3,0,0,7.6,2.6,0.32,Activo,0,25.0,0,1.0,11.773071239441158,1,0
2023,4,Lic. en Administración de Empresas,3,12,1,1,12,0,37,2,0,0,1,1,0,0,0,ninguno,6,10,6,12.875,6,12,6,12.9,0,98.4,3,1,16.2,0.3,-0.92,Activo,0,50.0,0,0.0,12.416633799255177,0,1
2023,3,Ing. Financiera y de Riesgos,4,4,1,0,3,0,28,1,0,0,0,0,0,0,1,ninguno,6,12,1,11.0,6,0,0,0.0,5,82.2,0,0,12.7,3.7,-1.7,Abandono,1,37.5,0,3.0,4.689690605094922,1,0
2023,5,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,1,1,0,43,2,0,0,0,1,0,0,0,ninguno,6,10,4,12.25,6,13,4,10.5,2,90.3,0,0,8.9,1.4,3.51,Abandono,1,62.5,0,1.0,10.781229395489913,1,0
2025,2,Ing. Comercial,1,14,1,1,1,0,32,1,0,0,0,0,1,0,1,ninguno,7,7,0,0.0,8,8,0,0.0,7,87.5,0,0,10.8,1.4,1.74,Abandono,1,25.0,0,2.0,0.0,1,0
2025,7,Ing. Comercio Internacional,2,8,1,1,1,0,20,1,0,1,1,0,0,0,0,beca,6,11,4,10.75,6,13,5,11.5,2,74.0,2,1,15.5,2.8,-4.06,Activo,0,87.5,0,1.0,10.58036037238433,1,1
2024,4,Lic. en Administración de Empresas,3,12,1,1,12,0,35,4,0,1,1,0,0,0,0,beca,8,9,8,13.63,8,9,8,13.63,0,76.5,0,0,9.4,-0.8,-3.12,Activo,0,50.0,0,0.0,12.684790805628255,0,0
2025,1,Ing. Financiera y de Riesgos,4,1,1,1,1,0,21,1,0,0,1,0,1,0,0,ninguno,5,8,3,13.0,5,7,4,11.5,2,66.3,0,0,7.6,2.6,0.32,Activo,0,12.5,0,1.0,11.296926216003044,1,0
2024,2,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,4,1,1,0,18,1,0,1,1,0,1,0,0,beca,7,9,6,13.533333333333331,7,7,7,12.228571428571428,1,81.9,0,0,12.4,0.5,1.79,Activo,0,25.0,0,0.0,12.411655318007057,0,0
2025,6,Ing. Comercial,1,1,1,1,1,0,18,1,0,1,1,0,0,0,0,credito,7,7,7,16.9,8,9,8,16.37777777777778,0,89.8,1,1,16.2,0.3,-0.92,Activo,0,75.0,1,0.0,15.78013406177728,0,1
2023,4,Ing. Comercio Internacional,2,8,4,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,6,10,5,12.0,6,11,4,12.0,1,83.0,0,0,16.2,0.3,-0.92,Activo,0,50.0,0,0.0,11.396847846398805,0,0
2024,1,Lic. en Administración de Empresas,3,15,1,0,14,0,22,1,0,0,1,0,1,0,1,ninguno,6,6,6,12.5,6,7,6,13.285714285714286,0,83.6,0,0,12.4,0.5,1.79,Activo,0,12.5,0,0.0,11.950589833795899,0,0
2023,2,Ing. Financiera y de Riesgos,4,1,2,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,8,8,7,12.764285714285714,8,8,7,12.764285714285714,1,83.7,1,1,10.8,1.4,1.74,Activo,0,25.0,0,0.0,12.149198723441048,0,1
2023,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,9,2,1,1,0,18,1,0,1,1,0,1,0,0,credito,5,8,5,13.75,5,6,5,12.166666666666666,0,81.7,0,0,13.9,-0.3,0.79,Activo,0,12.5,0,0.0,12.137320731197176,0,0
2024,2,Ing. Comercial,1,1,2,1,1,0,19,1,0,0,1,1,1,0,1,ninguno,0,0,0,0.0,0,0,0,0.0,0,77.1,0,0,12.4,0.5,1.79,Abandono,1,25.0,0,0.0,0.0,0,0
2023,1,Ing. Comercio Internacional,2,1,1,1,1,0,18,1,0,1,1,0,0,0,1,credito,7,7,7,14.604285714285712,8,9,8,15.68333333333333,0,84.1,1,1,11.1,0.6,2.02,Activo,0,12.5,1,0.0,14.684348994810522,0,1
2024,1,Lic. en Administración de Empresas,3,12,1,0,12,0,31,2,0,0,0,1,0,0,1,ninguno,5,7,0,0.0,5,7,0,0.0,5,88.6,2,1,16.2,0.3,-0.92,Abandono,1,12.5,0,2.0,0.0,1,1
2023,5,Ing. Financiera y de Riesgos,4,12,1,0,12,0,33,2,0,1,1,1,0,0,1,credito,6,9,5,13.833333333333334,6,7,6,12.5,1,88.1,2,1,9.4,-0.8,-3.12,Activo,0,62.5,0,0.0,12.568864830687225,0,1
2024,4,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,3,1,1,0,19,1,0,1,1,0,1,0,0,credito,8,8,8,13.57625,8,8,8,13.57625,0,85.2,0,0,9.4,-0.8,-3.12,Activo,0,50.0,0,0.0,12.74740374009005,0,0
2025,3,Ing. Comercial,1,8,1,1,1,0,18,1,0,1,1,0,1,0,0,beca,6,7,6,15.142857142857142,6,6,6,15.833333333333334,0,82.0,1,1,12.7,3.7,-1.7,Activo,0,37.5,0,0.0,14.764545198468701,0,1
2024,7,Ing. Comercio Internacional,2,1,1,1,1,0,23,1,0,0,1,0,0,0,0,ninguno,5,8,3,10.666666666666666,5,8,5,11.6,2,96.3,1,1,7.6,2.6,0.32,Activo,0,87.5,0,1.0,10.351292830402953,1,1
2024,7,Lic. en Administración de Empresas,3,8,1,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,6,11,5,11.2,6,6,6,12.0,1,100.0,0,0,9.4,-0.8,-3.12,Activo,0,87.5,0,0.0,11.10237155448764,0,0
2023,1,Ing. Financiera y de Riesgos,4,1,5,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,8,8,8,13.76375,8,8,8,13.76375,0,74.8,1,1,9.4,-0.8,-3.12,Activo,0,12.5,1,0.0,13.126745257829675,0,1
2024,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,17,1,1,16,0,21,1,0,0,1,1,1,0,0,ninguno,9,10,8,13.25,9,14,5,12.2,1,78.0,2,1,8.9,1.4,3.51,Activo,0,12.5,0,1.0,12.393923314521471,0,1
2023,3,Ing. Comercial,1,1,1,1,1,0,22,1,0,1,1,0,0,0,0,beca,6,10,5,10.714285714285714,6,10,5,12.2,1,78.8,1,1,12.7,3.7,-1.7,Activo,0,37.5,0,0.0,10.584870165972172,0,1
2024,5,Ing. Comercio Internacional,2,1,1,1,1,0,20,1,0,0,1,1,1,0,0,ninguno,6,6,6,12.166666666666666,6,7,6,11.666666666666666,0,77.4,2,1,9.4,-0.8,-3.12,Activo,0,62.5,0,0.0,10.923742153098754,0,1
2024,7,Lic. en Administración de Empresas,3,4,1,1,3,0,23,1,0,0,1,0,1,0,0,ninguno,7,8,6,14.357142857142858,7,8,6,14.357142857142858,1,87.6,2,1,7.6,2.6,0.32,Activo,0,87.5,0,0.0,13.772327513305587,0,1
2023,2,Ing. Financiera y de Riesgos,4,8,2,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,6,6,6,12.833333333333334,6,6,6,12.666666666666666,0,85.4,0,0,16.2,0.3,-0.92,Activo,0,25.0,0,0.0,12.44232544280792,0,0
2024,4,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,8,6,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,8,8,7,13.925714285714283,8,8,7,13.925714285714283,1,83.2,2,1,10.8,1.4,1.74,Activo,0,50.0,0,0.0,13.50685943802862,0,1
2024,8,Ing. Comercial,1,12,1,0,1,0,26,1,0,0,1,0,0,0,0,ninguno,5,9,2,12.0,5,9,3,11.0,3,68.0,3,1,10.8,1.4,1.74,Abandono,1,100.0,1,1.0,10.743231185574707,1,1
2023,5,Ing. Comercio Internacional,2,1,6,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,7,7,7,13.44285714285714,8,9,8,13.744444444444444,0,81.0,0,0,16.2,0.3,-0.92,Activo,0,62.5,0,0.0,12.86519527090809,0,0
2023,1,Lic. en Administración de Empresas,3,9,1,1,1,1,18,1,0,0,1,0,1,0,0,ninguno,5,5,1,16.0,5,5,0,0.0,4,86.9,0,0,9.4,-0.8,-3.12,Abandono,1,12.5,1,1.0,7.148494696290119,1,0
2025,4,Ing. Financiera y de Riesgos,4,15,1,1,14,1,20,1,0,0,1,0,1,0,1,ninguno,6,8,6,13.125,6,10,6,13.2,0,81.4,0,0,16.2,0.3,-0.92,Activo,0,50.0,0,0.0,12.684781192327252,0,0
2025,4,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,1,19,1,0,0,1,0,0,0,1,ninguno,6,7,0,0.0,6,6,0,0.0,6,92.8,1,1,15.5,2.8,-4.06,Abandono,1,50.0,0,1.0,0.0,1,1
2024,2,Ing. Comercial,1,14,1,0,1,1,32,1,0,0,0,0,0,0,1,ninguno,9,9,5,11.4,4,4,4,11.0,4,70.4,0,0,10.8,1.4,1.74,Abandono,1,25.0,0,1.0,10.418411184933431,1,0
2025,6,Ing. Comercio Internacional,2,12,1,1,1,1,31,2,0,0,0,0,0,0,1,ninguno,4,12,2,11.0,5,9,3,11.666666666666666,2,80.9,0,0,9.4,-0.8,-3.12,Abandono,1,75.0,0,1.0,10.807363184933642,1,0
2023,1,Lic. en Administración de Empresas,3,12,1,1,12,1,25,1,0,0,1,0,0,0,0,ninguno,5,13,1,11.0,5,11,1,10.0,4,85.3,2,1,13.9,-0.3,0.79,Activo,0,12.5,1,1.0,9.818158296360126,1,1
2025,2,Ing. Financiera y de Riesgos,4,13,1,1,14,0,21,1,0,0,1,0,1,0,0,ninguno,6,14,5,13.666666666666666,6,10,5,13.0,1,81.9,0,0,16.2,0.3,-0.92,Activo,0,25.0,0,0.0,12.930241667384504,0,0
2024,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,14,1,0,1,0,31,2,0,0,0,0,0,0,1,ninguno,6,10,4,11.75,5,6,1,10.0,2,94.3,0,0,12.7,3.7,-1.7,Abandono,1,12.5,0,1.0,10.258204847595092,1,0
2025,6,Ing. Comercial,1,12,1,1,1,0,34,2,0,0,1,0,0,0,1,ninguno,7,11,1,10.0,7,7,1,13.0,6,80.6,0,0,16.2,0.3,-0.92,Abandono,1,75.0,0,3.0,10.583161862311051,1,0
2024,1,Ing. Comercio Internacional,2,1,1,1,1,0,18,1,0,1,1,0,0,0,0,mixto,6,8,6,13.5,6,9,6,12.833333333333334,0,67.0,1,1,11.1,0.6,2.02,Activo,0,12.5,0,0.0,12.571832700788894,0,1
2023,6,Lic. en Administración de Empresas,3,1,3,1,1,0,19,1,0,0,1,1,1,0,1,ninguno,6,0,0,0.0,6,0,0,0.0,6,72.1,2,1,12.4,0.5,1.79,Abandono,1,75.0,0,2.0,0.0,1,1
2025,4,Ing. Financiera y de Riesgos,4,17,1,1,16,0,21,1,0,0,1,1,1,0,0,ninguno,6,12,1,12.0,6,11,1,11.0,5,82.7,1,1,8.9,1.4,3.51,Activo,0,50.0,1,2.0,10.786822644318214,1,1
2023,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,2,1,1,0,18,1,0,0,0,0,1,0,0,ninguno,6,11,3,13.0,6,10,5,11.8,3,100.0,3,1,9.4,-0.8,-3.12,Abandono,1,12.5,0,2.0,11.96568630082835,1,1
2023,6,Ing. Comercial,1,1,1,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,6,7,6,14.833333333333334,6,6,6,16.0,0,68.4,1,1,11.1,0.6,2.02,Activo,0,75.0,0,0.0,14.70989229537814,0,1
2024,4,Ing. Comercio Internacional,2,14,1,1,1,0,20,1,0,0,1,0,1,0,1,ninguno,6,6,6,11.833333333333334,6,7,6,12.857142857142858,0,63.6,0,0,15.5,2.8,-4.06,Activo,0,50.0,0,0.0,11.69104976482815,1,0
2023,4,Lic. en Administración de Empresas,3,8,3,1,1,0,18,1,0,1,1,0,1,1,0,credito,6,10,5,12.0,6,11,5,12.333333333333334,1,92.7,0,0,11.1,0.6,2.02,Activo,0,50.0,0,0.0,11.5876177320292,0,0
2023,1,Ing. Financiera y de Riesgos,4,1,1,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,6,11,4,12.75,6,7,6,11.333333333333334,2,81.6,0,0,7.6,2.6,0.32,Activo,0,12.5,0,1.0,11.657925359005418,1,0
2023,1,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,14,1,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,5,5,0,0.0,5,7,4,14.75,5,79.9,0,0,12.7,3.7,-1.7,Activo,0,12.5,1,2.0,6.7833039353069395,1,0
2025,2,Ing. Comercial,1,12,1,1,1,0,30,4,0,1,1,0,1,0,0,beca,6,7,0,0.0,6,16,1,10.0,6,78.1,0,0,11.1,0.6,2.02,Abandono,1,25.0,0,2.0,4.649066336632261,1,0
2023,6,Ing. Comercio Internacional,2,8,1,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,6,6,6,12.0,6,7,6,12.857142857142858,0,72.4,1,1,11.1,0.6,2.02,Activo,0,75.0,1,0.0,12.059433092592302,0,1
2023,4,Lic. en Administración de Empresas,3,1,3,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,7,9,7,11.677777777777775,8,8,8,13.8,0,76.1,0,0,12.7,3.7,-1.7,Activo,0,50.0,0,0.0,12.147747315835986,0,0
2024,1,Ing. Financiera y de Riesgos,4,1,4,1,1,0,19,1,0,1,1,0,1,0,0,mixto,8,8,7,13.6,8,8,7,13.6,1,81.4,0,0,12.7,3.7,-1.7,Activo,0,12.5,0,0.0,13.086232962622075,0,0
2025,5,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,19,1,0,0,1,0,1,0,1,ninguno,6,7,6,16.0,6,8,6,15.875,0,84.5,0,0,12.4,0.5,1.79,Activo,0,62.5,0,0.0,14.989618971896444,0,0
2024,4,Ing. Comercial,1,1,3,1,1,0,20,1,0,0,1,0,1,0,1,ninguno,6,9,5,11.8,6,7,6,11.5,1,85.4,2,1,7.6,2.6,0.32,Activo,0,50.0,2,0.0,11.087005936233812,0,1
2024,4,Ing. Comercio Internacional,2,13,1,1,1,1,25,1,0,0,1,1,0,0,0,ninguno,5,5,0,0.0,6,7,2,14.0,5,78.6,1,1,13.9,-0.3,0.79,Abandono,1,50.0,1,3.0,6.16949931454953,1,1
